src,dst,src_id,dst_id,precedence,pr_delta,pr_delta_norm,precedence_n,s_obs,is_causal,weight
Instruction Non-compliance,Tool Selection Errors,6,17,0.7,0.0885,0.098805,10,0.226189,False,0.226189
Authentication Errors,Tool Selection Errors,0,17,0.0,0.0875,0.097689,2,0.016747,False,0.016747
Tool Output Misinterpretation,Environment Setup Errors,16,2,0.0,0.0865,0.096573,2,0.016555,False,0.016555
Context Handling Failures,Incorrect Problem Identification,1,5,0.3333,0.0863,0.096349,3,0.071674,False,0.071674
Language-only,Instruction Non-compliance,7,6,0.0,0.0844,0.094228,12,0.039908,False,0.039908
Goal Deviation,Task Orchestration,4,13,0.125,0.0842,0.094005,8,0.065479,False,0.065479
Resource Abuse,Context Handling Failures,9,1,1.0,0.0823,0.091883,4,0.20228,False,0.20228
Resource Abuse,Authentication Errors,9,0,0.6667,0.0807,0.090097,3,0.120277,True,1.0
Instruction Non-compliance,Language-only,6,7,1.0,0.0769,0.085855,12,0.318715,False,0.318715
Incorrect Problem Identification,Environment Setup Errors,5,2,0.0,0.0749,0.083622,1,0.008362,False,0.008362
Poor Information Retrieval,Resource Not Found,8,11,0.5,0.0744,0.083064,2,0.071382,False,0.071382
Environment Setup Errors,Authentication Errors,2,0,0.0,0.0741,0.082729,1,0.008273,False,0.008273
Language-only,Environment Setup Errors,7,2,0.0,0.0731,0.081612,3,0.018363,False,0.018363
Resource Not Found,Context Handling Failures,11,1,1.0,0.073,0.081501,1,0.074817,False,0.074817
Incorrect Problem Identification,Task Orchestration,5,13,0.3333,0.0659,0.073574,3,0.066549,False,0.066549
Context Handling Failures,Authentication Errors,1,0,0.0,0.064,0.071452,2,0.012249,False,0.012249
Tool-related,Poor Information Retrieval,18,8,0.25,0.0617,0.068885,8,0.086973,False,0.086973
Resource Exhaustion,Instruction Non-compliance,10,6,0.0,0.0565,0.063079,1,0.006308,False,0.006308
Timeout Issues,Instruction Non-compliance,14,6,0.0,0.0565,0.063079,1,0.006308,False,0.006308
Formatting Errors,Resource Not Found,3,11,1.0,0.0495,0.055264,2,0.12376,False,0.12376
Formatting Errors,Environment Setup Errors,3,2,0.4,0.0492,0.054929,5,0.096479,False,0.096479
Goal Deviation,Tool Definition Issues,4,15,0.0,0.0484,0.054036,1,0.005404,False,0.005404
Environment Setup Errors,Context Handling Failures,2,1,1.0,0.0463,0.051691,2,0.123147,False,0.123147
Environment Setup Errors,Poor Information Retrieval,2,8,1.0,0.0463,0.051691,1,0.071836,False,0.071836
Resource Abuse,Resource Not Found,9,11,0.5,0.0462,0.05158,2,0.065985,False,0.065985
Incorrect Problem Identification,Resource Abuse,5,9,0.75,0.043,0.048007,4,0.146135,False,0.146135
Formatting Errors,Service Errors,3,12,1.0,0.0426,0.047561,2,0.122439,False,0.122439
Instruction Non-compliance,Resource Not Found,6,11,0.6667,0.0423,0.047226,3,0.110631,False,0.110631
Goal Deviation,Environment Setup Errors,4,2,0.4,0.0422,0.047114,5,0.094134,False,0.094134
Tool Output Misinterpretation,Authentication Errors,16,0,0.0,0.0385,0.042983,1,0.004298,False,0.004298
Context Handling Failures,Service Errors,1,12,1.0,0.0372,0.041532,1,0.07082,False,0.07082
Poor Information Retrieval,Service Errors,8,12,0.0,0.0372,0.041532,1,0.004153,False,0.004153
Environment Setup Errors,Task Orchestration,2,13,1.0,0.037,0.041308,1,0.070798,False,0.070798
Formatting Errors,Authentication Errors,3,0,0.6667,0.0353,0.039411,3,0.108872,False,0.108872
Resource Abuse,Environment Setup Errors,9,2,0.3333,0.0353,0.039411,3,0.058862,False,0.058862
Tool Definition Issues,Task Orchestration,15,13,1.0,0.0351,0.039187,1,0.070585,False,0.070585
Task Orchestration,Incorrect Problem Identification,13,5,0.6667,0.0331,0.036954,3,0.10832,False,0.10832
Context Handling Failures,Tool-related,1,18,0.0,0.0312,0.034833,3,0.007837,False,0.007837
Environment Setup Errors,Tool-related,2,18,0.3333,0.0278,0.031037,3,0.056978,False,0.056978
Context Handling Failures,Tool Definition Issues,1,15,0.0,0.0268,0.029921,1,0.002992,False,0.002992
Tool Definition Issues,Tool-related,15,18,1.0,0.0263,0.029363,1,0.069603,False,0.069603
Resource Abuse,Incorrect Problem Identification,9,5,0.25,0.0243,0.02713,4,0.051679,False,0.051679
Language-only,Resource Not Found,7,11,0.0,0.024,0.026795,2,0.004593,False,0.004593
Instruction Non-compliance,Tool Definition Issues,6,15,0.5,0.0231,0.02579,2,0.061564,False,0.061564
Context Handling Failures,Environment Setup Errors,1,2,0.0,0.0223,0.024897,2,0.004268,False,0.004268
Poor Information Retrieval,Environment Setup Errors,8,2,0.0,0.0223,0.024897,1,0.00249,False,0.00249
Tool-related,Context Handling Failures,18,1,1.0,0.0216,0.024115,3,0.155426,False,0.155426
Authentication Errors,Poor Information Retrieval,0,8,0.0,0.0214,0.023892,1,0.002389,False,0.002389
Incorrect Problem Identification,Language-only,5,7,0.75,0.0173,0.019315,4,0.138484,False,0.138484
Tool Selection Errors,Authentication Errors,17,0,1.0,0.0166,0.018533,2,0.117463,False,0.117463
Task Orchestration,Resource Exhaustion,13,10,1.0,0.0164,0.01831,1,0.068498,False,0.068498
Task Orchestration,Service Errors,13,12,1.0,0.0164,0.01831,1,0.068498,False,0.068498
Task Orchestration,Timeout Issues,13,14,1.0,0.0164,0.01831,1,0.068498,False,0.068498
Context Handling Failures,Resource Not Found,1,11,0.0,0.0164,0.01831,1,0.001831,False,0.001831
Task Orchestration,Environment Setup Errors,13,2,0.0,0.0125,0.013956,1,0.001396,False,0.001396
Language-only,Resource Exhaustion,7,10,1.0,0.012,0.013397,1,0.068006,False,0.068006
Language-only,Timeout Issues,7,14,1.0,0.012,0.013397,1,0.068006,False,0.068006
Tool Output Misinterpretation,Goal Deviation,16,4,0.8,0.0096,0.010718,5,0.163215,False,0.163215
Tool Output Misinterpretation,Task Orchestration,16,13,0.0,0.0096,0.010718,4,0.002858,False,0.002858
Tool-related,Environment Setup Errors,18,2,0.6667,0.0093,0.010383,3,0.102341,False,0.102341
Language-only,Incorrect Problem Identification,7,5,0.25,0.0081,0.009043,4,0.046856,False,0.046856
Formatting Errors,Resource Exhaustion,3,10,1.0,0.007,0.007815,1,0.067448,False,0.067448
Formatting Errors,Timeout Issues,3,14,1.0,0.007,0.007815,1,0.067448,False,0.067448
Poor Information Retrieval,Authentication Errors,8,0,1.0,0.006,0.006699,1,0.067337,False,0.067337
Task Orchestration,Tool Output Misinterpretation,13,16,1.0,0.0045,0.005024,4,0.179118,False,0.179118
Task Orchestration,Tool Definition Issues,13,15,0.0,0.0042,0.004689,1,0.000469,False,0.000469
Instruction Non-compliance,Resource Exhaustion,6,10,1.0,0.0038,0.004242,1,0.067091,False,0.067091
Instruction Non-compliance,Timeout Issues,6,14,1.0,0.0038,0.004242,1,0.067091,False,0.067091
Goal Deviation,Tool Output Misinterpretation,4,16,0.2,0.0038,0.004242,5,0.041273,False,0.041273
Tool-related,Tool Definition Issues,18,15,0.0,0.0031,0.003461,1,0.000346,False,0.000346
Instruction Non-compliance,Environment Setup Errors,6,2,1.0,0.0,0.0,3,0.15,False,0.15
Instruction Non-compliance,Tool-related,6,18,0.9333,0.0,0.0,15,0.27999,False,0.27999
Tool-related,Instruction Non-compliance,18,6,0.0667,0.0,0.0,15,0.02001,False,0.02001
Environment Setup Errors,Instruction Non-compliance,2,6,0.0,0.0,0.0,3,0.0,False,0.0
