src,dst,src_id,dst_id,precedence,pr_delta,pr_delta_norm,precedence_n,s_obs,is_causal,weight
Formatting Errors,Resource Abuse,3,9,0.8571,0.3889,0.412995,21,0.477053,True,1.0
Poor Information Retrieval,Formatting Errors,8,3,0.2857,0.3729,0.395924,14,0.259247,False,0.259247
Tool Output Misinterpretation,Formatting Errors,16,3,0.25,0.3377,0.35837,8,0.19386,False,0.19386
Incorrect Problem Identification,Tool Output Misinterpretation,5,16,1.0,0.3361,0.356663,5,0.306999,True,1.0
Resource Not Found,Poor Information Retrieval,11,8,1.0,0.3333,0.353675,1,0.102034,False,0.102034
Resource Abuse,Poor Information Retrieval,9,8,0.4545,0.3229,0.34258,11,0.266302,False,0.266302
Tool-related,Goal Deviation,18,4,0.75,0.3178,0.337139,4,0.223237,True,1.0
Goal Deviation,Tool Selection Errors,4,17,0.0,0.3139,0.332978,4,0.088794,False,0.088794
Task Orchestration,Tool Selection Errors,13,17,0.5,0.2938,0.311533,2,0.110549,False,0.110549
Tool Selection Errors,Task Orchestration,17,13,0.5,0.2938,0.311533,2,0.110549,False,0.110549
Authentication Errors,Formatting Errors,0,3,0.3333,0.2679,0.283901,3,0.113873,False,0.113873
Authentication Errors,Tool Selection Errors,0,17,0.0,0.2679,0.283901,2,0.048669,False,0.048669
Tool Definition Issues,Task Orchestration,15,13,1.0,0.2632,0.278886,1,0.094555,False,0.094555
Poor Information Retrieval,Context Handling Failures,8,1,0.8,0.25,0.264803,10,0.319255,False,0.319255
Goal Deviation,Tool-related,4,18,0.25,0.2485,0.263203,4,0.114632,False,0.114632
Incorrect Problem Identification,Task Orchestration,5,13,0.5,0.2479,0.262563,4,0.158906,False,0.158906
Tool Definition Issues,Tool-related,15,18,1.0,0.2456,0.260109,1,0.092678,False,0.092678
Resource Not Found,Tool-related,11,18,0.0,0.2456,0.260109,1,0.026011,False,0.026011
Language-only,Goal Deviation,7,4,0.5,0.2402,0.254348,2,0.100745,False,0.100745
Tool Selection Errors,Language-only,17,7,1.0,0.2386,0.252641,2,0.157596,False,0.157596
Task Orchestration,Language-only,13,7,0.8,0.2386,0.252641,5,0.235792,True,1.0
Authentication Errors,Resource Abuse,0,9,0.5,0.2321,0.245706,2,0.099264,False,0.099264
Incorrect Problem Identification,Formatting Errors,5,3,0.2857,0.2263,0.239518,7,0.150495,False,0.150495
Formatting Errors,Poor Information Retrieval,3,8,0.7143,0.2129,0.225221,14,0.310102,True,1.0
Goal Deviation,Language-only,4,7,0.5,0.2127,0.225008,2,0.095716,False,0.095716
Resource Not Found,Context Handling Failures,11,1,1.0,0.2105,0.222661,1,0.088933,False,0.088933
Tool Definition Issues,Context Handling Failures,15,1,1.0,0.2105,0.222661,1,0.088933,False,0.088933
Environment Setup Errors,Goal Deviation,2,4,0.5,0.2083,0.220314,4,0.147639,False,0.147639
Language-only,Task Orchestration,7,13,0.2,0.2012,0.212739,5,0.103822,False,0.103822
Language-only,Tool Selection Errors,7,17,0.0,0.2012,0.212739,2,0.036469,False,0.036469
Resource Abuse,Context Handling Failures,9,1,1.0,0.1994,0.210818,11,0.361963,False,0.361963
Environment Setup Errors,Language-only,2,7,1.0,0.1944,0.205484,2,0.149512,False,0.149512
Context Handling Failures,Resource Abuse,1,9,0.0,0.1923,0.203243,11,0.083838,False,0.083838
Incorrect Problem Identification,Context Handling Failures,5,1,0.6667,0.1897,0.200469,6,0.21107,False,0.21107
Authentication Errors,Environment Setup Errors,0,2,1.0,0.1875,0.198122,1,0.086479,False,0.086479
Task Orchestration,Goal Deviation,13,4,0.8333,0.1851,0.195562,6,0.245813,False,0.245813
Tool Output Misinterpretation,Goal Deviation,16,4,0.75,0.1849,0.195348,4,0.185426,False,0.185426
Tool Definition Issues,Language-only,15,7,1.0,0.1842,0.194602,1,0.086127,False,0.086127
Environment Setup Errors,Tool Output Misinterpretation,2,16,1.0,0.1759,0.185746,2,0.146128,False,0.146128
Tool Output Misinterpretation,Task Orchestration,16,13,0.0,0.1736,0.183292,4,0.048878,False,0.048878
Context Handling Failures,Poor Information Retrieval,1,8,0.2,0.1722,0.181799,10,0.126053,False,0.126053
Authentication Errors,Tool Output Misinterpretation,0,16,1.0,0.1696,0.179025,1,0.084569,False,0.084569
Tool-related,Resource Abuse,18,9,0.5,0.1674,0.176678,8,0.188312,False,0.188312
Resource Abuse,Tool-related,9,18,0.5,0.1607,0.169529,8,0.185672,False,0.185672
Environment Setup Errors,Incorrect Problem Identification,2,5,1.0,0.1481,0.156087,1,0.082275,False,0.082275
Environment Setup Errors,Task Orchestration,2,13,1.0,0.1435,0.151179,1,0.081785,False,0.081785
Environment Setup Errors,Formatting Errors,2,3,0.6,0.1435,0.151179,5,0.165354,False,0.165354
Tool Output Misinterpretation,Environment Setup Errors,16,2,0.0,0.1434,0.151072,2,0.025898,False,0.025898
Goal Deviation,Task Orchestration,4,13,0.1667,0.1382,0.145524,6,0.083997,False,0.083997
Tool Output Misinterpretation,Resource Abuse,16,9,0.25,0.1358,0.142964,4,0.082568,False,0.082568
Task Orchestration,Incorrect Problem Identification,13,5,0.5,0.1347,0.14179,4,0.1267,False,0.1267
Environment Setup Errors,Resource Exhaustion,2,10,1.0,0.125,0.131441,1,0.079811,False,0.079811
Environment Setup Errors,Timeout Issues,2,14,1.0,0.125,0.131441,1,0.079811,False,0.079811
Environment Setup Errors,Tool-related,2,18,0.3333,0.125,0.131441,3,0.079569,False,0.079569
Incorrect Problem Identification,Resource Abuse,5,9,0.5,0.1225,0.128774,4,0.123229,False,0.123229
Poor Information Retrieval,Tool-related,8,18,0.5714,0.1104,0.115865,7,0.173879,False,0.173879
Formatting Errors,Tool Output Misinterpretation,3,16,0.75,0.1065,0.111704,8,0.22586,True,1.0
Environment Setup Errors,Resource Abuse,2,9,0.6667,0.1065,0.111704,3,0.125138,False,0.125138
Environment Setup Errors,Authentication Errors,2,0,0.0,0.0972,0.101782,1,0.010178,False,0.010178
Incorrect Problem Identification,Environment Setup Errors,5,2,0.0,0.0956,0.100075,1,0.010007,False,0.010007
Context Handling Failures,Incorrect Problem Identification,1,5,0.3333,0.0911,0.095274,6,0.1039,False,0.1039
Formatting Errors,Incorrect Problem Identification,3,5,0.7143,0.0901,0.094207,7,0.199642,True,1.0
Language-only,Instruction Non-compliance,7,6,0.0,0.0883,0.092286,15,0.041529,False,0.041529
Environment Setup Errors,Poor Information Retrieval,2,8,1.0,0.0833,0.086952,1,0.075362,False,0.075362
Tool-related,Poor Information Retrieval,18,8,0.4286,0.0822,0.085778,7,0.130029,False,0.130029
Instruction Non-compliance,Language-only,6,7,1.0,0.0771,0.080337,15,0.336152,False,0.336152
Incorrect Problem Identification,Resource Exhaustion,5,10,1.0,0.0769,0.080124,1,0.074679,False,0.074679
Incorrect Problem Identification,Timeout Issues,5,14,1.0,0.0769,0.080124,1,0.074679,False,0.074679
Context Handling Failures,Instruction Non-compliance,1,6,0.0,0.076,0.079164,18,0.037172,False,0.037172
Task Orchestration,Tool Output Misinterpretation,13,16,1.0,0.0747,0.077777,4,0.198518,False,0.198518
Incorrect Problem Identification,Tool Selection Errors,5,17,0.5,0.0747,0.077777,2,0.070476,False,0.070476
Incorrect Problem Identification,Language-only,5,7,0.6667,0.0739,0.076923,3,0.117313,False,0.117313
Tool Output Misinterpretation,Authentication Errors,16,0,0.0,0.0717,0.074576,1,0.007458,False,0.007458
Resource Not Found,Goal Deviation,11,4,0.0,0.0702,0.072976,1,0.007298,False,0.007298
Instruction Non-compliance,Context Handling Failures,6,1,1.0,0.0633,0.065614,18,0.343854,True,1.0
Resource Abuse,Resource Not Found,9,11,0.5,0.0625,0.06476,2,0.068245,False,0.068245
Resource Abuse,Incorrect Problem Identification,9,5,0.5,0.061,0.06316,4,0.105732,False,0.105732
Goal Deviation,Tool Output Misinterpretation,4,16,0.25,0.0594,0.061453,4,0.060832,False,0.060832
Language-only,Environment Setup Errors,7,2,0.0,0.0575,0.059426,2,0.010187,False,0.010187
Goal Deviation,Environment Setup Errors,4,2,0.5,0.0545,0.056225,4,0.103882,False,0.103882
Resource Abuse,Tool Output Misinterpretation,9,16,0.75,0.0536,0.055265,4,0.148071,False,0.148071
Task Orchestration,Environment Setup Errors,13,2,0.0,0.0503,0.051744,1,0.005174,False,0.005174
Poor Information Retrieval,Service Errors,8,12,0.0,0.05,0.051424,1,0.005142,False,0.005142
Tool Selection Errors,Authentication Errors,17,0,1.0,0.0487,0.050037,2,0.122864,False,0.122864
Tool-related,Environment Setup Errors,18,2,0.6667,0.0419,0.042782,3,0.109631,False,0.109631
Tool Selection Errors,Incorrect Problem Identification,17,5,0.5,0.0406,0.041395,2,0.064239,False,0.064239
Goal Deviation,Tool Definition Issues,4,15,0.0,0.04,0.040755,1,0.004076,False,0.004076
Poor Information Retrieval,Resource Not Found,8,11,0.0,0.0396,0.040329,1,0.004033,False,0.004033
Resource Abuse,Authentication Errors,9,0,0.5,0.0387,0.039368,2,0.063892,False,0.063892
Poor Information Retrieval,Environment Setup Errors,8,2,0.0,0.0375,0.038088,1,0.003809,False,0.003809
Formatting Errors,Environment Setup Errors,3,2,0.4,0.0369,0.037448,5,0.091234,False,0.091234
Task Orchestration,Resource Exhaustion,13,10,1.0,0.0357,0.036168,1,0.070283,False,0.070283
Task Orchestration,Service Errors,13,12,1.0,0.0357,0.036168,1,0.070283,False,0.070283
Task Orchestration,Timeout Issues,13,14,1.0,0.0357,0.036168,1,0.070283,False,0.070283
Formatting Errors,Authentication Errors,3,0,0.6667,0.0357,0.036168,3,0.108143,False,0.108143
Formatting Errors,Resource Not Found,3,11,1.0,0.0351,0.035528,2,0.120376,False,0.120376
Incorrect Problem Identification,Goal Deviation,5,4,0.6667,0.0344,0.034781,3,0.107831,False,0.107831
Resource Abuse,Environment Setup Errors,9,2,0.3333,0.0342,0.034567,3,0.057773,False,0.057773
Language-only,Incorrect Problem Identification,7,5,0.3333,0.0339,0.034247,3,0.057701,False,0.057701
Instruction Non-compliance,Resource Not Found,6,11,0.5,0.0323,0.03254,2,0.062721,False,0.062721
Tool Output Misinterpretation,Poor Information Retrieval,16,8,0.0,0.0302,0.0303,2,0.005194,False,0.005194
Context Handling Failures,Service Errors,1,12,1.0,0.0294,0.029446,1,0.069611,False,0.069611
Language-only,Resource Exhaustion,7,10,1.0,0.027,0.026886,1,0.069355,False,0.069355
Language-only,Timeout Issues,7,14,1.0,0.027,0.026886,1,0.069355,False,0.069355
Task Orchestration,Tool Definition Issues,13,15,0.0,0.0244,0.024112,1,0.002411,False,0.002411
Tool-related,Resource Not Found,18,11,1.0,0.0217,0.021231,1,0.06879,False,0.06879
Tool-related,Tool Definition Issues,18,15,0.0,0.0217,0.021231,1,0.002123,False,0.002123
Instruction Non-compliance,Formatting Errors,6,3,0.2857,0.0185,0.017817,21,0.100938,False,0.100938
Formatting Errors,Instruction Non-compliance,3,6,0.7143,0.0184,0.01771,21,0.239357,False,0.239357
Formatting Errors,Resource Exhaustion,3,10,1.0,0.0175,0.01675,1,0.068342,False,0.068342
Formatting Errors,Service Errors,3,12,1.0,0.0175,0.01675,1,0.068342,False,0.068342
Formatting Errors,Timeout Issues,3,14,1.0,0.0175,0.01675,1,0.068342,False,0.068342
Context Handling Failures,Resource Not Found,1,11,0.0,0.0172,0.01643,1,0.001643,False,0.001643
Context Handling Failures,Tool Definition Issues,1,15,0.0,0.0172,0.01643,1,0.001643,False,0.001643
Poor Information Retrieval,Tool Output Misinterpretation,8,16,1.0,0.0167,0.015897,2,0.117011,False,0.117011
Instruction Non-compliance,Resource Exhaustion,6,10,1.0,0.0161,0.015257,1,0.068192,False,0.068192
Instruction Non-compliance,Timeout Issues,6,14,1.0,0.0161,0.015257,1,0.068192,False,0.068192
Language-only,Tool Definition Issues,7,15,0.0,0.0144,0.013443,1,0.001344,False,0.001344
Goal Deviation,Incorrect Problem Identification,4,5,0.3333,0.0139,0.012909,3,0.0529,False,0.0529
Tool Output Misinterpretation,Context Handling Failures,16,1,0.6667,0.0075,0.006081,3,0.101373,False,0.101373
Goal Deviation,Resource Not Found,4,11,1.0,0.0048,0.003201,1,0.066987,False,0.066987
Incorrect Problem Identification,Instruction Non-compliance,5,6,0.0,0.0045,0.002881,4,0.000768,False,0.000768
Context Handling Failures,Tool Output Misinterpretation,1,16,0.3333,0.0029,0.001174,3,0.050259,False,0.050259
Instruction Non-compliance,Incorrect Problem Identification,6,5,1.0,0.0018,0.0,4,0.177778,False,0.177778
