model,benchmark,method,P,R,F1,src
Gemma-3-27B,TRAIL-GAIA,+CG,0.2219,0.1666,0.1654,/data/wang/junh/githubs/trail-benchmark/benchmarking/outputs/zero_shot2/outputs_openai-gemma-3-27b-it-GAIA_dedup-graph_causal_only-metrics.txt
Gemma-3-27B,TRAIL-GAIA,+GI+SI,0.1970,0.1454,0.1398,/data/wang/junh/githubs/trail-benchmark/benchmarking/outputs/zero_shot2/outputs_openai-gemma-3-27b-it-GAIA_dedup-graph_inject_causal_only_span_index-metrics.txt
GPT-oss-20B,TRAIL-GAIA,+GI+SI,0.2569,0.1591,0.1776,/data/wang/junh/githubs/trail-benchmark/benchmarking/outputs/zero_shot2/outputs_openai-gpt-oss-20b-GAIA_dedup-graph_inject_causal_only_span_index-metrics.txt
QwenLong-L1-32B,TRAIL-GAIA,+GI+SI,0.2866,0.1498,0.1643,/data/wang/junh/githubs/trail-benchmark/benchmarking/outputs/zero_shot2/outputs_Tongyi-Zhiwen-QwenLong-L1-32B-GAIA_dedup-graph_inject_causal_only_span_index-metrics.txt
GPT-oss-20B,TRAIL-GAIA,+CG,0.2491,0.1549,0.1729,/data/wang/junh/githubs/trail-benchmark/benchmarking/outputs/zero_shot2/outputs_openai-gpt-oss-20b-GAIA_dedup-graph_causal_only-metrics.txt
Gemma-3-27B,TRAIL-GAIA,Baseline,0.2208,0.1540,0.1527,/data/wang/junh/githubs/trail-benchmark/benchmarking/outputs/zero_shot2/outputs_openai-gemma-3-27b-it-GAIA_dedup-metrics.txt
GPT-oss-120B,TRAIL-GAIA,Baseline,0.2740,0.2256,0.2114,/data/wang/junh/githubs/trail-benchmark/benchmarking/outputs/zero_shot2/outputs_openai-gpt-oss-120b-GAIA_dedup-metrics.txt
GPT-oss-20B,TRAIL-GAIA,Baseline,0.2425,0.1569,0.1723,/data/wang/junh/githubs/trail-benchmark/benchmarking/outputs/zero_shot2/outputs_openai-gpt-oss-20b-GAIA_dedup-metrics.txt
GPT-oss-120B,TRAIL-GAIA,+CG,0.2618,0.2047,0.1978,/data/wang/junh/githubs/trail-benchmark/benchmarking/outputs/zero_shot2/outputs_openai-gpt-oss-120b-GAIA_dedup-graph_causal_only-metrics.txt
GPT-oss-120B,TRAIL-GAIA,+GI+SI,0.2454,0.2578,0.2434,/data/wang/junh/githubs/trail-benchmark/benchmarking/outputs/zero_shot2/outputs_openai-gpt-oss-120b-GAIA_dedup-graph_inject_causal_only_span_index-metrics.txt
Gemma-3-27B,TRAIL-SWE,Baseline,0.2744,0.0411,0.0642,/data/wang/junh/githubs/trail-benchmark/benchmarking/outputs/zero_shot2/outputs_openai-gemma-3-27b-it-SWE_Bench_dedup-metrics.txt
Gemma-3-27B,TRAIL-SWE,+CG,0.1803,0.1014,0.1067,/data/wang/junh/githubs/trail-benchmark/benchmarking/outputs/zero_shot2/outputs_openai-gemma-3-27b-it-SWE_Bench_dedup-graph_causal_only-metrics.txt
Gemma-3-27B,TRAIL-SWE,+GI+SI,0.2436,0.0917,0.1238,/data/wang/junh/githubs/trail-benchmark/benchmarking/outputs/zero_shot2/outputs_openai-gemma-3-27b-it-SWE_Bench_dedup-graph_inject_causal_only_span_index-metrics.txt
GPT-oss-120B,TRAIL-SWE,Baseline,0.4154,0.0995,0.1450,/data/wang/junh/githubs/trail-benchmark/benchmarking/outputs/zero_shot2/outputs_openai-gpt-oss-120b-SWE_Bench_dedup-metrics.txt
GPT-oss-120B,TRAIL-SWE,+CG,0.2096,0.0753,0.1079,/data/wang/junh/githubs/trail-benchmark/benchmarking/outputs/zero_shot2/outputs_openai-gpt-oss-120b-SWE_Bench_dedup-graph_causal_only-metrics.txt
GPT-oss-120B,TRAIL-SWE,+GI+SI,0.2597,0.1310,0.1611,/data/wang/junh/githubs/trail-benchmark/benchmarking/outputs/zero_shot2/outputs_openai-gpt-oss-120b-SWE_Bench_dedup-graph_inject_causal_only_span_index-metrics.txt
GPT-oss-20B,TRAIL-SWE,Baseline,0.2440,0.1043,0.0647,/data/wang/junh/githubs/trail-benchmark/benchmarking/outputs/zero_shot2/outputs_openai-gpt-oss-20b-SWE_Bench_dedup-metrics.txt
GPT-oss-20B,TRAIL-SWE,+CG,0.1397,0.0376,0.0547,/data/wang/junh/githubs/trail-benchmark/benchmarking/outputs/zero_shot2/outputs_openai-gpt-oss-20b-SWE_Bench_dedup-graph_causal_only-metrics.txt
GPT-oss-20B,TRAIL-SWE,+GI+SI,0.1816,0.0472,0.0709,/data/wang/junh/githubs/trail-benchmark/benchmarking/outputs/zero_shot2/outputs_openai-gpt-oss-20b-SWE_Bench_dedup-graph_inject_causal_only_span_index-metrics.txt
Gemini-2.5-Pro,TRAIL-GAIA,Baseline,0.4337,0.3406,0.3513,/data/wang/junh/githubs/trail-benchmark/benchmarking/outputs/zero_shot2/outputs_gemini-gemini-2.5-pro-GAIA_dedup-metrics.txt
Gemini-2.5-Pro,TRAIL-GAIA,+GI+SI,0.4135,0.3975,0.3840,/data/wang/junh/githubs/trail-benchmark/benchmarking/outputs/zero_shot2/outputs_gemini-gemini-2.5-pro-GAIA_dedup-graph_inject_causal_only_span_index-metrics.txt
Gemini-2.5-Pro,TRAIL-SWE,Baseline,0.3131,0.1217,0.1439,/data/wang/junh/githubs/trail-benchmark/benchmarking/outputs/zero_shot2/outputs_gemini-gemini-2.5-pro-SWE_Bench_dedup-metrics.txt
Gemini-2.5-Pro,TRAIL-SWE,+GI+SI,0.3364,0.2204,0.2213,/data/wang/junh/githubs/trail-benchmark/benchmarking/outputs/zero_shot2/outputs_gemini-gemini-2.5-pro-SWE_Bench_dedup-graph_inject_causal_only_span_index-metrics.txt
